date,product_name,quantity,type_movement
2015-07-27,Banane,626,import
2015-07-29,Banane,643,import
2015-07-31,Lait,671,import
2015-07-31,Banane,295,import
2015-07-31,Banane,-454,export
2015-08-01,Carotte,-512,export
2015-08-02,Carotte,355,import
2015-08-02,Carotte,-412,export
2015-08-06,Lait,248,import
2015-08-09,Banane,563,import
2015-08-10,Banane,591,import
2015-08-10,Banane,-693,export
2015-08-11,Lait,650,import
2015-08-11,Carotte,-260,export
2015-08-12,Carotte,-13,adjustment
2015-08-13,Carotte,449,import
2015-08-13,Banane,627,import
2015-08-14,Lait,602,import
2015-08-16,Lait,-607,export
2015-08-16,Carotte,-320,export
2015-08-17,Carotte,389,import
2015-08-18,Lait,433,import
2015-08-18,Lait,473,import
2015-08-19,Carotte,644,import
2015-08-20,Banane,513,import
2015-08-20,Banane,616,import
2015-08-22,Lait,-405,export
2015-08-23,Lait,574,import
2015-08-24,Banane,380,import
2015-08-24,Lait,-623,export
2015-08-24,Carotte,44,adjustment
2015-08-25,Banane,-605,export
2015-08-27,Carotte,-8,loss
2015-08-30,Carotte,-209,export
2015-08-31,Banane,362,import
2015-09-01,Lait,496,import
2015-09-01,Tomate,-327,export
2015-09-02,Banane,-399,export
2015-09-03,Carotte,285,import
2015-09-04,Lait,550,import
2015-09-04,Tomate,694,import
2015-09-06,Banane,377,import
2015-09-08,Tomate,552,import
2015-09-08,Tomate,-525,export
2015-09-08,Lait,552,import
2015-09-10,Banane,-18,adjustment
2015-09-11,Tomate,-468,export
2015-09-12,Tomate,222,import
2015-09-12,Carotte,-638,export
2015-09-12,Banane,-364,export
2015-09-14,Lait,-483,export
2015-09-15,Tomate,-362,export
2015-09-15,Carotte,381,import
2015-09-15,Carotte,-661,export
2015-09-16,Tomate,-481,export
2015-09-17,Lait,589,import
2015-09-18,Tomate,27,adjustment
2015-09-20,Lait,397,import
2015-09-21,Carotte,-474,export
2015-09-22,Carotte,575,import
2015-09-22,Lait,-483,export
2015-09-23,Carotte,289,import
2015-09-24,Banane,223,import
2015-09-25,Carotte,405,import
2015-09-26,Carotte,-5,loss
2015-09-26,Banane,536,import
2015-09-27,Carotte,-377,export
2015-09-29,Lait,-519,export
2015-09-30,Lait,699,import
2015-10-01,Banane,211,import
2015-10-02,Banane,36,adjustment
2015-10-03,Lait,-13,adjustment
2015-10-05,Tomate,-281,export
2015-10-05,Lait,-2,adjustment
2015-10-05,Lait,429,import
2015-10-06,Lait,578,import
2015-10-06,Poivron,606,import
2015-10-07,Tomate,-426,export
2015-10-08,Lait,-690,export
2015-10-08,Tomate,396,import
2015-10-10,Lait,41,adjustment
2015-10-11,Lait,341,import
2015-10-12,Poivron,597,import
2015-10-12,Tomate,50,adjustment
2015-10-14,Banane,566,import
2015-10-16,Tomate,659,import
2015-10-16,Tomate,-483,export
2015-10-17,Banane,-326,export
2015-10-18,Banane,-348,export
2015-10-19,Tomate,-15,loss
2015-10-19,Tomate,-7,loss
2015-10-20,Banane,372,import
2015-10-21,Lait,-584,export
2015-10-21,Poivron,236,import
2015-10-21,Tomate,-322,export
2015-10-22,Tomate,550,import
2015-10-23,Banane,603,import
2015-10-24,Banane,-691,export
2015-10-25,Poivron,301,import
2015-10-25,Poivron,-340,export
2015-10-27,Lait,201,import
2015-10-27,Lait,219,import
2015-10-27,Poivron,-21,adjustment
2015-10-28,Lait,27,adjustment
2015-10-28,Banane,-539,export
2015-10-29,Banane,-30,loss
2015-10-30,Lait,583,import
2015-10-30,Poivron,510,import
2015-10-31,Tomate,570,import
2015-11-01,Tomate,-218,export
2015-11-02,Letchi,273,import
2015-11-03,Tomate,-686,export
2015-11-04,Poivron,-263,export
2015-11-05,Lait,427,import
2015-11-05,Letchi,659,import
2015-11-05,Letchi,234,import
2015-11-06,Letchi,215,import
2015-11-07,Banane,-313,export
2015-11-08,Tomate,522,import
2015-11-08,Poivron,252,import
2015-11-08,Banane,527,import
2015-11-09,Lait,233,import
2015-11-10,Banane,478,import
2015-11-11,Poivron,292,import
2015-11-12,Tomate,647,import
2015-11-12,Lait,293,import
2015-11-14,Poivron,-30,loss
2015-11-16,Letchi,612,import
2015-11-16,Letchi,657,import
2015-11-18,Tomate,-608,export
2015-11-18,Tomate,-550,export
2015-11-18,Lait,-651,export
2015-11-19,Banane,250,import
2015-11-21,Banane,353,import
2015-11-21,Tomate,270,import
2015-11-22,Poivron,-365,export
2015-11-23,Poivron,569,import
2015-11-24,Poivron,-6,loss
2015-11-25,Lait,361,import
2015-11-27,Poivron,-637,export
2015-11-27,Tomate,-6,loss
2015-11-30,Letchi,-514,export
2015-11-30,Poivron,-481,export
2015-12-01,Banane,530,import
2015-12-01,Letchi,-432,export
2015-12-01,Tomate,530,import
2015-12-02,Poivron,-641,export
2015-12-02,Tomate,358,import
2015-12-02,Tomate,-309,export
2015-12-02,Banane,378,import
2015-12-02,Ananas,-645,export
2015-12-03,Lait,475,import
2015-12-03,Ananas,-223,export
2015-12-05,Letchi,-271,export
2015-12-05,Lait,326,import
2015-12-05,Lait,-632,export
2015-12-06,Letchi,18,adjustment
2015-12-06,Letchi,419,import
2015-12-07,Poivron,638,import
2015-12-07,Ananas,298,import
2015-12-07,Poivron,257,import
2015-12-07,Tomate,-362,export
2015-12-08,Poivron,343,import
2015-12-08,Banane,-564,export
2015-12-09,Ananas,274,import
2015-12-09,Tomate,578,import
2015-12-10,Ananas,677,import
2015-12-10,Tomate,531,import
2015-12-10,Banane,561,import
2015-12-11,Lait,319,import
2015-12-11,Poivron,229,import
2015-12-11,Letchi,200,import
2015-12-11,Tomate,-272,export
2015-12-13,Letchi,299,import
