date,product_name,quantity,type_movement,reason,stock_level,partner,unit_price,total_value,week,month,quarter,is_weekend,cumulative_stock,days_in_stock
2023-07-27,Banane,-15,export,normal_sale,561,Client_2,2.06,30.9,30,7,3,False,0,0
2023-07-27,Lait,-25,export,normal_sale,281,Client_3,1.35,33.75,30,7,3,False,0,0
2023-07-27,Tomate,-6,export,normal_sale,257,Client_1,2.95,17.7,30,7,3,False,0,7
2023-07-28,Banane,-20,export,normal_sale,546,Client_5,1.93,38.6,30,7,3,False,0,2
2023-07-28,Lait,-256,adjustment,perishable_loss,0,Internal,0.0,0.0,30,7,3,False,0,1
2023-07-28,Lait,390,import,restock,0,Fournisseur_1,1.02,397.8,30,7,3,False,390,2
2023-07-28,Lait,-29,export,normal_sale,390,Client_6,1.37,39.73,30,7,3,False,361,2
2023-07-28,Tomate,-7,export,normal_sale,251,Client_4,2.93,20.51,30,7,3,False,0,5
2023-07-29,Banane,-17,export,normal_sale,526,Client_8,2.26,38.42,30,7,3,True,0,0
2023-07-29,Lait,-24,export,normal_sale,361,Client_9,1.38,33.12,30,7,3,True,337,2
2023-07-29,Tomate,-14,export,normal_sale,244,Client_7,3.18,44.52,30,7,3,True,0,6
2023-07-30,Banane,-19,export,normal_sale,509,Client_11,2.24,42.56,30,7,3,True,0,1
2023-07-30,Lait,50,import,preventive,337,Fournisseur_2,1.2,60.0,30,7,3,True,387,0
2023-07-30,Lait,-19,export,normal_sale,387,Client_12,1.5,28.5,30,7,3,True,368,0
2023-07-30,Letchi,50,import,preventive,0,Fournisseur_3,6.41,320.5,30,7,3,True,50,5
2023-07-30,Tomate,-16,export,normal_sale,230,Client_10,2.61,41.76,30,7,3,True,0,4
2023-07-31,Banane,-490,adjustment,perishable_loss,0,Internal,0.0,0.0,31,7,3,False,0,3
2023-07-31,Banane,225,import,restock,0,Fournisseur_5,1.57,353.25,31,7,3,False,225,2
2023-07-31,Banane,-21,export,normal_sale,225,Client_14,2.26,47.46,31,7,3,False,204,2
2023-07-31,Lait,50,import,preventive,368,Fournisseur_1,0.99,49.5,31,7,3,False,418,1
2023-07-31,Lait,-22,export,normal_sale,418,Client_15,1.44,31.68,31,7,3,False,396,0
2023-07-31,Tomate,50,import,preventive,214,Fournisseur_4,2.42,121.0,31,7,3,False,50,0
2023-07-31,Tomate,-16,export,normal_sale,264,Client_13,2.67,42.72,31,7,3,False,34,2
2023-08-01,Banane,-12,export,normal_sale,204,Client_2,1.93,23.16,31,8,3,False,192,1
2023-08-01,Lait,-22,export,normal_sale,396,Client_3,1.22,26.84,31,8,3,False,374,0
2023-08-01,Tomate,-10,export,normal_sale,248,Client_1,2.98,29.8,31,8,3,False,24,5
2023-08-02,Banane,-17,export,normal_sale,192,Client_5,1.98,33.66,31,8,3,False,175,1
2023-08-02,Lait,-274,adjustment,perishable_loss,100,Internal,0.0,0.0,31,8,3,False,100,0
2023-08-02,Lait,276,import,restock,100,Fournisseur_2,1.08,298.08,31,8,3,False,376,0
2023-08-02,Lait,-20,export,normal_sale,376,Client_6,1.32,26.4,31,8,3,False,356,1
2023-08-02,Tomate,-13,export,normal_sale,238,Client_4,3.23,41.99,31,8,3,False,11,2
2023-08-03,Banane,-25,export,normal_sale,175,Client_8,1.89,47.25,31,8,3,False,150,2
2023-08-03,Lait,50,import,preventive,356,Fournisseur_4,1.01,50.5,31,8,3,False,406,1
2023-08-03,Lait,-25,export,normal_sale,406,Client_9,1.4,35.0,31,8,3,False,381,2
2023-08-03,Tomate,50,import,preventive,225,Fournisseur_3,2.32,116.0,31,8,3,False,61,6
2023-08-03,Tomate,-16,export,normal_sale,275,Client_7,2.55,40.8,31,8,3,False,45,6
2023-08-04,Banane,-14,export,normal_sale,150,Client_11,2.07,28.98,31,8,3,False,136,1
2023-08-04,Lait,-5,adjustment,perishable_loss,376,Internal,0.0,0.0,31,8,3,False,376,1
2023-08-04,Lait,-19,export,normal_sale,376,Client_12,1.43,27.17,31,8,3,False,357,1
2023-08-04,Tomate,-11,export,normal_sale,259,Client_10,2.93,32.23,31,8,3,False,34,6
2023-08-05,Banane,-14,export,normal_sale,136,Client_14,1.98,27.72,31,8,3,True,122,3
2023-08-05,Lait,-31,adjustment,perishable_loss,326,Internal,0.0,0.0,31,8,3,True,326,0
2023-08-05,Lait,-19,export,normal_sale,326,Client_15,1.44,27.36,31,8,3,True,307,0
2023-08-05,Letchi,50,import,preventive,50,Fournisseur_5,6.79,339.5,31,8,3,True,100,1
2023-08-05,Tomate,-11,export,normal_sale,248,Client_13,2.99,32.89,31,8,3,True,23,3
2023-08-06,Banane,-10,export,normal_sale,122,Client_2,2.2,22.0,31,8,3,True,112,3
2023-08-06,Lait,-15,export,normal_sale,307,Client_3,1.45,21.75,31,8,3,True,292,0
2023-08-06,Letchi,50,import,preventive,100,Fournisseur_1,7.36,368.0,31,8,3,True,150,5
2023-08-06,Tomate,-6,export,normal_sale,237,Client_1,2.64,15.84,31,8,3,True,17,0
2023-08-07,Banane,-112,adjustment,perishable_loss,0,Internal,0.0,0.0,32,8,3,False,0,2
2023-08-07,Banane,253,import,restock,0,Fournisseur_2,1.58,399.74,32,8,3,False,253,0
2023-08-07,Banane,-12,export,normal_sale,253,Client_5,1.9,22.8,32,8,3,False,241,1
2023-08-07,Lait,-242,adjustment,perishable_loss,50,Internal,0.0,0.0,32,8,3,False,50,0
2023-08-07,Lait,301,import,restock,50,Fournisseur_3,1.12,337.12,32,8,3,False,351,1
2023-08-07,Lait,-27,export,normal_sale,351,Client_6,1.47,39.69,32,8,3,False,324,0
